show ip int br
Interface                  IP-Address      OK? Method Status                Protocol
Ethernet0/0                192.168.0.11    YES manual up                    up      
Ethernet0/1                172.16.0.2      YES manual up                    up      
Ethernet0/2                unassigned      YES unset  administratively down down    
Ethernet0/3                unassigned      YES unset  administratively down down    
Ethernet1/0                unassigned      YES unset  administratively down down    
Ethernet1/1                unassigned      YES unset  administratively down down    
Ethernet1/2                unassigned      YES unset  administratively down down    
Ethernet1/3                unassigned      YES unset  administratively down down    
Ethernet2/0                unassigned      YES unset  administratively down down    
Ethernet2/1                unassigned      YES unset  administratively down down    
Ethernet2/2                unassigned      YES unset  administratively down down    
Ethernet2/3                unassigned      YES unset  administratively down down    
Ethernet3/0                unassigned      YES unset  administratively down down    
Ethernet3/1                unassigned      YES unset  administratively down down    
Ethernet3/2                unassigned      YES unset  administratively down down    
Ethernet3/3                unassigned      YES unset  administratively down down
